,,,,,,Month,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent and fresh food","All items, less fresh food and energy","All items, less food (less alcoholic beverages) and energy ",Food,Fresh food,"Food, less fresh food ",Cereals,Fish and seafood,Fresh fish and seafood,Meats,Dairy products and eggs,Vegetables and seaweeds,Fresh vegetables,Fruits,Fresh fruits,"Oils, fats and seasonings",Cakes and candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs and maintenance,"Fuel, light and water charges",Electricity,Gas,Other fuel and light,Water and sewerage charges,Furniture and household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non durable goods,Domestic services,Clothes and footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters and underwear",Shirts and sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines and health fortification,Medical supplies and appliances,Medical services,Transportation and communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks and reference books for study,Tutorial fees,Culture and recreation,Recreational durable goods,Recreational goods,Books and other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture and recreation,Expenses for information and communication
m01-1,201901      ,03          ,01,,589,Jan-19,0.2 ,0.8 ,0.2 ,0.9 ,0.4 ,0.3 ,-1.5 ,-11.1 ,0.6 ,0.7 ,1.5 ,0.5 ,0.3 ,2.8 ,-14.4 ,-21.2 ,-2.7 ,-3.3 ,-0.6 ,-0.2 ,0.1 ,-0.3 ,-1.1 ,1.1 ,-0.1 ,0.1 ,-0.1 ,-0.1 ,0.2 ,5.2 ,7.2 ,5.6 ,6.3 ,0.4 ,-0.1 ,0.2 ,-1.7 ,0.1 ,-0.2 ,0.0 ,0.0 ,0.2 ,-0.3 ,-0.7 ,-0.3 ,0.9 ,1.2 ,0.5 ,-0.3 ,0.5 ,1.9 ,1.3 ,-0.1 ,1.3 ,1.9 ,-0.2 ,0.3 ,0.8 ,-2.8 ,0.5 ,0.4 ,0.0 ,0.7 ,1.5 ,-1.6 ,-0.8 ,1.9 ,2.5 ,0.9 ,0.1 ,-0.2 ,0.1 ,8.6 ,0.7 ,4.9 ,0.4 ,1.4 ,-1.9 
m01-1,201902      ,03          ,01,,590,Feb-19,0.2 ,0.7 ,0.2 ,0.9 ,0.4 ,0.3 ,-1.4 ,-11.0 ,0.6 ,0.7 ,1.6 ,0.6 ,0.4 ,2.4 ,-15.0 ,-22.2 ,-1.0 ,-1.4 ,-0.4 ,-0.2 ,0.4 ,0.1 ,-1.4 ,1.0 ,0.0 ,0.2 ,-0.1 ,-0.1 ,0.4 ,5.3 ,7.7 ,6.2 ,1.6 ,0.4 ,0.8 ,3.5 ,-1.1 ,0.9 ,-0.7 ,-0.4 ,0.1 ,0.0 ,-0.8 ,-0.5 ,-0.8 ,0.6 ,0.7 ,0.3 ,0.2 ,-0.1 ,1.8 ,1.2 ,-0.4 ,1.1 ,1.9 ,-0.6 ,0.3 ,0.2 ,-2.8 ,0.4 ,0.4 ,0.0 ,0.6 ,1.4 ,-0.6 ,0.0 ,2.0 ,1.9 ,0.9 ,0.1 ,-0.3 ,0.2 ,8.6 ,0.7 ,4.5 ,0.5 ,1.3 ,-1.8 
m01-1,201903      ,03          ,01,,591,Mar-19,0.5 ,0.8 ,0.6 ,1.0 ,0.4 ,0.3 ,-0.3 ,-6.0 ,0.8 ,0.5 ,1.1 ,-0.3 ,0.8 ,2.3 ,-9.0 ,-14.2 ,2.8 ,2.7 ,-0.2 ,0.6 ,0.3 ,0.2 ,-1.1 ,1.1 ,0.0 ,0.2 ,-0.1 ,-0.1 ,0.4 ,5.1 ,7.3 ,6.3 ,2.5 ,0.4 ,1.5 ,5.5 ,-1.8 ,0.8 ,-0.8 ,0.1 ,0.2 ,0.1 ,-0.4 ,0.1 ,-0.5 ,0.2 ,0.3 ,0.0 ,0.7 ,0.4 ,1.8 ,1.3 ,0.1 ,1.0 ,1.9 ,-0.3 ,0.1 ,0.9 ,-3.0 ,0.5 ,0.4 ,0.0 ,1.0 ,0.9 ,-0.1 ,0.7 ,2.1 ,0.9 ,1.0 ,0.2 ,-0.2 ,0.7 ,8.6 ,0.7 ,5.1 ,0.5 ,0.9 ,-1.8 
m01-1,201904      ,03          ,01,,592,Apr-19,0.9 ,0.9 ,1.0 ,1.1 ,0.6 ,0.5 ,0.7 ,-0.3 ,0.9 ,0.8 ,1.6 ,0.4 ,1.0 ,1.5 ,-0.1 ,-0.6 ,-0.5 ,-0.7 ,0.2 ,0.9 ,1.0 ,0.1 ,-1.3 ,1.0 ,0.1 ,0.4 ,-0.1 ,0.0 ,0.8 ,4.4 ,5.8 ,5.5 ,3.0 ,0.5 ,1.6 ,6.2 ,0.0 ,0.7 ,-1.4 ,-0.4 ,0.9 ,0.1 ,-0.5 ,0.8 ,-0.5 ,0.2 ,0.3 ,0.1 ,0.8 ,0.4 ,1.7 ,0.9 ,-0.2 ,1.1 ,1.3 ,-0.2 ,0.1 ,1.1 ,-3.0 ,0.5 ,0.4 ,0.2 ,0.9 ,2.0 ,1.3 ,1.0 ,2.2 ,2.3 ,1.1 ,0.2 ,-0.2 ,1.8 ,7.8 ,0.7 ,4.6 ,0.5 ,1.8 ,-1.8 
m01-1,201905      ,03          ,01,,593,May-19,0.7 ,0.8 ,0.9 ,0.9 ,0.5 ,0.3 ,0.8 ,-0.1 ,1.0 ,1.1 ,1.6 ,0.9 ,0.9 ,1.9 ,0.2 ,0.0 ,-1.1 ,-1.4 ,0.0 ,1.8 ,0.9 ,0.2 ,-1.0 ,1.0 ,0.1 ,0.4 ,-0.1 ,0.0 ,0.9 ,3.2 ,3.6 ,4.8 ,5.1 ,0.3 ,2.6 ,7.8 ,1.2 ,0.6 ,-1.0 ,1.0 ,0.9 ,0.0 ,-0.5 ,0.4 ,-0.5 ,-0.2 ,-0.3 ,0.1 ,0.8 ,0.1 ,1.7 ,0.7 ,-0.7 ,1.0 ,1.3 ,-0.4 ,0.2 ,1.2 ,-4.1 ,0.6 ,0.4 ,0.2 ,1.0 ,1.3 ,1.3 ,1.4 ,2.6 ,1.0 ,1.0 ,0.3 ,-0.7 ,1.8 ,7.8 ,0.7 ,3.7 ,0.5 ,1.2 ,-1.8 
m01-1,201906      ,03          ,01,,594,Jun-19,0.7 ,0.6 ,0.8 ,0.7 ,0.5 ,0.3 ,1.4 ,2.8 ,1.2 ,1.3 ,2.0 ,1.2 ,1.4 ,2.0 ,0.9 ,1.0 ,7.7 ,8.1 ,0.3 ,2.6 ,1.1 ,0.3 ,-0.9 ,1.0 ,0.1 ,0.5 ,0.0 ,0.0 ,1.0 ,2.2 ,2.5 ,3.9 ,0.3 ,0.3 ,1.8 ,5.1 ,1.5 ,1.2 ,-1.1 ,0.7 ,1.0 ,0.0 ,-0.6 ,0.2 ,-0.6 ,-0.1 ,-0.2 ,0.0 ,0.9 ,0.4 ,1.7 ,0.6 ,-0.8 ,0.6 ,1.2 ,-1.3 ,0.1 ,-0.3 ,-4.6 ,0.6 ,0.5 ,0.2 ,1.0 ,1.5 ,1.0 ,1.1 ,2.7 ,1.4 ,0.9 ,0.3 ,-0.7 ,1.5 ,7.8 ,0.7 ,1.2 ,0.6 ,1.4 ,-2.5 
m01-1,201907      ,03          ,01,,595,Jul-19,0.5 ,0.6 ,0.6 ,0.7 ,0.6 ,0.4 ,0.9 ,-0.7 ,1.2 ,1.2 ,1.5 ,0.2 ,1.3 ,2.2 ,-1.9 ,-3.3 ,2.7 ,2.7 ,0.3 ,2.8 ,0.8 ,0.5 ,-0.9 ,0.9 ,0.2 ,0.7 ,0.0 ,0.0 ,1.4 ,2.0 ,2.7 ,3.0 ,-1.1 ,0.2 ,1.7 ,3.8 ,2.7 ,0.9 ,-0.8 ,1.8 ,1.0 ,0.4 ,0.1 ,1.1 ,0.1 ,0.2 ,0.0 ,0.6 ,1.2 ,0.3 ,1.7 ,0.6 ,-0.5 ,0.3 ,1.3 ,-1.2 ,0.0 ,-0.8 ,-2.9 ,0.7 ,0.6 ,0.2 ,1.0 ,1.1 ,1.0 ,0.8 ,2.7 ,0.9 ,1.0 ,0.3 ,-0.7 ,1.7 ,7.8 ,0.7 ,0.6 ,0.6 ,1.0 ,-2.4 
m01-1,201908      ,03          ,01,,596,Aug-19,0.3 ,0.5 ,0.3 ,0.6 ,0.6 ,0.4 ,0.1 ,-4.9 ,1.1 ,1.0 ,-0.5 ,-2.9 ,1.3 ,1.9 ,-6.4 ,-9.8 ,2.1 ,2.0 ,-0.2 ,3.0 ,0.6 ,0.4 ,-1.1 ,0.9 ,0.2 ,0.8 ,0.0 ,0.0 ,1.4 ,1.2 ,1.8 ,1.8 ,-1.3 ,0.2 ,2.3 ,5.4 ,2.4 ,1.9 ,-1.2 ,2.1 ,0.9 ,0.6 ,0.3 ,1.2 ,0.3 ,0.6 ,0.8 ,0.3 ,1.1 ,0.0 ,1.7 ,-0.2 ,-0.6 ,-0.3 ,0.0 ,-1.2 ,0.3 ,-0.9 ,-2.9 ,0.6 ,0.6 ,0.2 ,0.8 ,1.1 ,0.9 ,1.4 ,3.1 ,0.6 ,1.0 ,0.5 ,-0.6 ,2.2 ,7.8 ,0.6 ,-0.3 ,0.7 ,1.0 ,-2.4 
m01-1,201909      ,03          ,01,,597,Sep-19,0.2 ,0.3 ,0.3 ,0.4 ,0.5 ,0.3 ,0.5 ,-2.2 ,1.0 ,0.9 ,1.2 ,0.2 ,0.4 ,2.2 ,-4.6 ,-7.2 ,4.8 ,5.0 ,-0.5 ,3.0 ,0.9 ,0.3 ,-1.4 ,1.0 ,0.2 ,0.8 ,0.0 ,0.0 ,1.6 ,0.2 ,0.4 ,0.4 ,-2.6 ,0.2 ,2.7 ,6.0 ,4.2 ,1.8 ,-0.4 ,1.9 ,1.0 ,0.0 ,-0.6 ,0.6 ,-0.6 ,0.1 ,-0.1 ,0.5 ,1.1 ,0.1 ,1.7 ,-0.2 ,-0.8 ,-0.4 ,0.0 ,-1.6 ,0.2 ,-1.4 ,-2.9 ,0.7 ,0.6 ,0.2 ,1.0 ,1.0 ,-2.3 ,1.7 ,3.1 ,0.7 ,1.0 ,0.5 ,-0.7 ,1.8 ,7.8 ,0.7 ,-1.9 ,0.8 ,0.9 ,-2.0 
m01-1,201910      ,03          ,01,,598,Oct-19,0.2 ,0.4 ,0.3 ,0.5 ,0.7 ,0.3 ,0.9 ,-3.5 ,1.7 ,1.2 ,2.7 ,2.9 ,0.7 ,2.2 ,-6.4 ,-9.8 ,1.3 ,1.2 ,-0.4 ,2.8 ,1.4 ,0.5 ,1.5 ,3.0 ,0.7 ,2.6 ,0.0 ,0.0 ,4.9 ,-0.8 ,-1.0 ,-0.4 ,-4.6 ,0.2 ,4.2 ,6.4 ,6.0 ,3.8 ,1.6 ,4.0 ,3.1 ,1.2 ,0.2 ,3.1 ,0.1 ,1.1 ,0.7 ,2.0 ,3.1 ,0.9 ,4.3 ,0.7 ,1.1 ,1.1 ,0.4 ,-1.0 ,2.1 ,-0.6 ,-3.6 ,-7.8 ,-12.4 ,1.1 ,2.1 ,2.3 ,0.0 ,2.5 ,3.7 ,2.1 ,-2.9 ,2.4 ,1.8 ,3.7 ,1.7 ,-12.5 ,-2.7 ,-5.7 ,2.2 ,-1.4 
m01-1,201911      ,03          ,01,,599,Nov-19,0.5 ,0.5 ,0.6 ,0.6 ,0.8 ,0.5 ,1.5 ,0.0 ,1.8 ,0.9 ,2.4 ,2.6 ,1.2 ,2.4 ,-1.0 ,-1.9 ,0.4 ,0.4 ,-0.7 ,3.1 ,1.5 ,0.3 ,1.3 ,3.2 ,0.8 ,2.7 ,0.0 ,0.1 ,5.0 ,0.1 ,-0.2 ,0.8 ,-6.6 ,2.1 ,3.8 ,5.4 ,3.5 ,4.8 ,1.3 ,4.0 ,3.1 ,1.3 ,0.6 ,2.9 ,0.6 ,0.9 ,0.5 ,1.9 ,2.5 ,1.5 ,4.3 ,0.7 ,1.2 ,0.6 ,0.4 ,-0.5 ,2.2 ,-0.3 ,-2.5 ,-7.8 ,-12.4 ,1.1 ,2.1 ,2.3 ,0.8 ,3.4 ,3.6 ,1.9 ,-3.0 ,2.4 ,1.4 ,3.5 ,1.7 ,-12.5 ,-2.1 ,-5.7 ,2.3 ,-1.1 
m01-1,201912      ,03          ,01,,600,Dec-19,0.8 ,0.7 ,0.9 ,0.9 ,0.9 ,0.5 ,1.9 ,2.4 ,1.8 ,0.8 ,0.6 ,-0.7 ,0.7 ,2.6 ,3.5 ,5.1 ,1.7 ,1.7 ,-0.3 ,3.3 ,1.7 ,0.0 ,1.6 ,3.1 ,0.8 ,2.7 ,0.0 ,0.0 ,5.0 ,-0.1 ,-1.1 ,0.2 ,-1.4 ,2.3 ,3.0 ,3.3 ,3.0 ,4.5 ,1.5 ,3.6 ,3.1 ,1.4 ,0.9 ,3.4 ,0.8 ,0.9 ,0.7 ,1.4 ,3.1 ,0.4 ,4.1 ,0.5 ,0.7 ,0.3 ,0.4 ,0.8 ,2.2 ,1.5 ,-1.6 ,-7.8 ,-12.4 ,1.1 ,2.2 ,2.8 ,-0.2 ,4.5 ,3.5 ,2.3 ,-3.1 ,2.5 ,1.4 ,3.2 ,1.7 ,-12.5 ,-0.6 ,-5.6 ,2.7 ,-0.9 
m01-1,202001      ,03          ,01,,601,Jan-20,0.7 ,0.8 ,0.8 ,0.9 ,0.8 ,0.4 ,1.2 ,-2.0 ,1.9 ,1.0 ,-0.7 ,-2.7 ,1.1 ,2.3 ,-2.1 ,-3.8 ,1.9 ,2.0 ,0.1 ,3.2 ,1.5 ,0.5 ,1.4 ,3.2 ,0.8 ,2.6 ,0.1 ,0.1 ,5.0 ,-0.4 ,-2.1 ,-0.7 ,5.0 ,2.3 ,2.7 ,2.8 ,2.9 ,3.5 ,1.0 ,3.5 ,3.1 ,1.1 ,0.8 ,3.5 ,0.7 ,0.2 ,-0.1 ,0.9 ,3.5 ,0.2 ,4.1 ,0.8 ,1.3 ,1.1 ,0.5 ,1.7 ,2.2 ,3.0 ,-1.6 ,-7.8 ,-12.4 ,1.1 ,2.2 ,2.1 ,1.2 ,4.4 ,2.0 ,1.4 ,-3.0 ,2.6 ,1.3 ,3.7 ,1.7 ,-12.5 ,0.8 ,-5.6 ,2.0 ,-0.9 
m01-1,202002      ,03          ,01,,602,Feb-20,0.4 ,0.6 ,0.5 ,0.6 ,0.6 ,0.2 ,1.2 ,-1.9 ,1.8 ,1.1 ,0.0 ,-1.0 ,0.9 ,2.7 ,-2.1 ,-3.9 ,0.4 ,0.4 ,-0.5 ,3.4 ,1.3 ,0.5 ,1.4 ,3.1 ,0.8 ,2.6 ,0.0 ,0.1 ,4.9 ,-1.0 ,-3.2 ,-1.6 ,5.9 ,2.3 ,2.1 ,0.3 ,3.7 ,2.5 ,1.8 ,3.8 ,3.0 ,1.3 ,1.3 ,3.6 ,1.2 ,0.0 ,-0.3 ,0.7 ,3.1 ,0.9 ,3.9 ,0.7 ,0.6 ,1.4 ,0.4 ,1.4 ,2.7 ,2.6 ,-2.2 ,-7.9 ,-12.4 ,1.1 ,1.8 ,1.1 ,1.2 ,3.1 ,2.2 ,0.2 ,-2.9 ,2.5 ,1.6 ,3.8 ,1.7 ,-12.5 ,-0.2 ,-5.7 ,1.1 ,-0.9 
m01-1,202003      ,03          ,01,,603,Mar-20,0.4 ,0.4 ,0.5 ,0.5 ,0.6 ,0.3 ,1.4 ,0.3 ,1.6 ,1.0 ,-0.4 ,-1.6 ,0.4 ,2.4 ,1.6 ,2.0 ,0.2 ,0.1 ,-0.7 ,2.8 ,1.3 ,0.3 ,1.2 ,3.0 ,0.8 ,2.7 ,0.0 ,0.1 ,5.0 ,-1.4 ,-3.3 ,-1.7 ,2.4 ,2.3 ,2.1 ,0.0 ,3.8 ,3.3 ,1.7 ,3.9 ,3.0 ,1.3 ,1.3 ,3.0 ,1.3 ,0.2 ,-0.4 ,1.7 ,2.7 ,0.5 ,3.8 ,0.7 ,1.0 ,1.2 ,0.4 ,0.7 ,2.6 ,1.5 ,-2.3 ,-7.9 ,-12.4 ,1.1 ,1.7 ,1.5 ,2.4 ,2.7 ,2.1 ,0.9 ,-3.0 ,2.4 ,1.4 ,3.9 ,1.7 ,-12.5 ,-1.7 ,-5.6 ,1.5 ,-1.0 
m01-1,202004      ,03          ,01,,604,Apr-20,0.1 ,-0.2 ,0.1 ,-0.2 ,0.2 ,-0.1 ,2.1 ,6.7 ,1.3 ,0.7 ,-0.1 ,-0.6 ,0.6 ,0.5 ,7.6 ,11.2 ,7.7 ,8.3 ,-0.4 ,2.9 ,0.5 ,0.2 ,1.2 ,2.7 ,0.7 ,2.4 ,0.0 ,0.1 ,4.6 ,-1.8 ,-2.7 ,-1.5 ,-9.1 ,2.0 ,2.0 ,-0.5 ,4.3 ,3.4 ,2.6 ,3.6 ,2.5 ,1.4 ,1.2 ,2.4 ,1.2 ,1.0 ,0.6 ,1.8 ,2.4 ,0.4 ,3.5 ,0.5 ,1.5 ,1.5 ,-0.2 ,-1.2 ,2.5 ,-1.8 ,-2.1 ,-10.0 ,-15.8 ,1.7 ,2.5 ,0.3 ,1.8 ,2.0 ,2.1 ,-0.7 ,-3.2 ,2.3 ,1.1 ,2.5 ,1.7 ,-12.4 ,-4.7 ,-7.4 ,0.4 ,-0.8 
m01-1,202005      ,03          ,01,,605,May-20,0.1 ,-0.2 ,0.0 ,-0.2 ,0.4 ,0.1 ,2.1 ,5.8 ,1.4 ,0.5 ,-0.1 ,-0.6 ,1.5 ,0.0 ,7.0 ,10.2 ,6.3 ,6.7 ,0.0 ,3.0 ,1.0 ,-0.1 ,1.0 ,2.6 ,0.8 ,2.4 ,0.1 ,0.1 ,4.4 ,-2.2 ,-2.0 ,-1.5 ,-16.5 ,0.6 ,1.7 ,-1.3 ,3.7 ,4.1 ,2.9 ,2.9 ,2.5 ,1.4 ,1.1 ,2.9 ,1.0 ,1.3 ,1.0 ,2.0 ,1.9 ,0.3 ,3.5 ,0.5 ,1.8 ,1.1 ,-0.2 ,-1.7 ,3.7 ,-3.6 ,-0.7 ,-10.4 ,-15.9 ,1.7 ,1.3 ,1.2 ,2.4 ,2.7 ,1.8 ,0.4 ,-3.0 ,2.1 ,1.9 ,3.2 ,1.7 ,-12.4 ,-6.7 ,-7.7 ,1.3 ,-0.5 
m01-1,202006      ,03          ,01,,606,Jun-20,0.1 ,0.0 ,0.1 ,-0.1 ,0.4 ,0.2 ,1.5 ,3.2 ,1.2 ,0.2 ,-1.5 ,-2.9 ,1.2 ,-0.1 ,5.0 ,7.2 ,4.0 ,4.3 ,-0.4 ,2.6 ,0.9 ,-0.5 ,1.0 ,2.6 ,0.7 ,2.2 ,0.1 ,0.0 ,4.2 ,-2.0 ,-1.6 ,-1.2 ,-16.7 ,0.2 ,3.1 ,2.5 ,4.5 ,3.1 ,3.9 ,2.8 ,2.5 ,1.3 ,0.9 ,2.4 ,0.8 ,1.0 ,0.7 ,1.8 ,2.3 ,0.7 ,3.4 ,0.6 ,1.7 ,1.3 ,-0.2 ,-0.5 ,3.4 ,-2.5 ,1.8 ,-10.5 ,-16.0 ,1.7 ,1.1 ,1.0 ,3.1 ,3.2 ,1.6 ,-0.1 ,-3.0 ,2.2 ,1.6 ,3.3 ,1.7 ,-12.4 ,-5.3 ,-7.9 ,1.0 ,1.7 
m01-1,202007      ,03          ,01,,607,Jul-20,0.3 ,0.0 ,0.3 ,0.0 ,0.4 ,0.3 ,1.9 ,6.9 ,1.0 ,0.1 ,-1.0 ,-1.5 ,1.2 ,-0.4 ,8.8 ,13.4 ,6.4 ,6.9 ,-0.7 ,1.4 ,0.8 ,-0.8 ,1.0 ,2.5 ,0.7 ,2.0 ,0.1 ,0.0 ,3.8 ,-2.2 ,-2.0 ,-0.7 ,-15.3 ,-0.6 ,3.3 ,4.0 ,3.7 ,4.1 ,3.9 ,1.9 ,2.5 ,1.3 ,1.2 ,1.4 ,1.2 ,0.9 ,0.8 ,1.1 ,1.6 ,0.8 ,3.3 ,0.5 ,1.5 ,1.2 ,-0.2 ,-0.1 ,2.2 ,-1.7 ,1.9 ,-10.3 ,-16.1 ,1.7 ,2.2 ,1.7 ,3.9 ,3.1 ,1.4 ,1.0 ,-3.0 ,2.1 ,1.8 ,3.4 ,1.7 ,-12.4 ,-4.5 ,-7.8 ,1.6 ,2.4 
m01-1,202008      ,03          ,01,,608,Aug-20,0.2 ,-0.4 ,0.2 ,-0.5 ,-0.1 ,-0.4 ,2.9 ,13.6 ,0.9 ,-0.1 ,-0.3 ,-0.7 ,0.4 ,-0.2 ,16.0 ,24.3 ,12.3 ,13.3 ,-0.7 ,1.2 ,0.7 ,-0.9 ,1.1 ,2.5 ,0.7 ,2.0 ,0.1 ,0.0 ,3.8 ,-1.9 ,-2.5 ,0.0 ,-10.9 ,-0.3 ,2.8 ,2.5 ,4.5 ,1.9 ,4.3 ,1.8 ,2.5 ,1.3 ,1.3 ,1.5 ,1.3 ,0.9 ,0.6 ,1.6 ,1.5 ,1.1 ,3.3 ,0.4 ,1.1 ,1.2 ,-0.2 ,0.2 ,1.6 ,-0.9 ,1.9 ,-10.3 ,-16.2 ,1.7 ,2.2 ,-2.4 ,4.0 ,2.9 ,1.2 ,-5.6 ,-3.1 ,2.0 ,1.9 ,2.4 ,1.7 ,-12.4 ,-3.5 ,-7.9 ,-2.3 ,2.4 
m01-1,202009      ,03          ,01,,609,Sep-20,0.0 ,-0.3 ,0.0 ,-0.4 ,0.0 ,-0.3 ,1.9 ,7.8 ,0.8 ,-0.7 ,2.0 ,3.3 ,1.0 ,-0.6 ,3.3 ,4.4 ,19.3 ,20.7 ,-0.4 ,1.0 ,0.1 ,-0.7 ,1.5 ,2.5 ,0.6 ,2.0 ,0.1 ,0.0 ,3.7 ,-2.2 ,-3.4 ,0.2 ,-10.8 ,0.2 ,3.0 ,2.4 ,3.0 ,2.2 ,4.7 ,2.7 ,2.4 ,1.7 ,1.9 ,1.8 ,1.9 ,1.2 ,0.9 ,1.8 ,2.0 ,1.1 ,3.3 ,0.4 ,1.4 ,0.9 ,-0.2 ,0.4 ,1.6 ,-0.6 ,1.9 ,-10.3 ,-16.2 ,1.7 ,2.2 ,-1.8 ,4.3 ,2.7 ,1.4 ,-4.7 ,-3.0 ,2.1 ,2.1 ,2.9 ,1.7 ,-12.4 ,-3.5 ,-8.0 ,-1.7 ,2.4 
m01-1,202010      ,03          ,01,,610,Oct-20,-0.4 ,-0.7 ,-0.5 ,-0.8 ,-0.2 ,-0.4 ,1.1 ,5.4 ,0.2 ,-0.8 ,1.2 ,1.9 ,1.3 ,-0.7 ,3.6 ,5.0 ,10.2 ,10.9 ,-0.9 ,1.7 ,0.1 ,-1.1 ,-0.8 ,0.4 ,0.1 ,0.3 ,0.1 ,0.0 ,0.5 ,-2.9 ,-4.7 ,-0.9 ,-13.6 ,1.9 ,0.9 ,0.8 ,0.2 ,0.5 ,2.4 ,0.4 ,0.3 ,0.7 ,1.4 ,-0.8 ,1.5 ,0.4 ,0.3 ,0.6 ,0.0 ,-0.1 ,0.8 ,-0.5 ,-0.4 ,-0.6 ,-0.5 ,-0.9 ,0.0 ,-2.6 ,2.5 ,-2.1 ,-3.9 ,0.7 ,1.2 ,-4.0 ,0.1 ,1.4 ,1.4 ,-7.5 ,1.0 ,0.2 ,-0.1 ,0.8 ,9.6 ,0.0 ,-5.7 ,-1.8 ,-3.8 ,1.2 
m01-1,202011      ,03          ,01,,611,Nov-20,-0.9 ,-0.9 ,-1.1 ,-1.1 ,-0.3 ,-0.4 ,-0.2 ,-1.1 ,-0.1 ,-1.1 ,-1.4 ,-2.1 ,0.7 ,-1.0 ,-1.2 ,-2.4 ,3.0 ,3.1 ,-0.9 ,1.2 ,-0.1 ,-1.2 ,-0.6 ,0.1 ,0.1 ,0.2 ,0.0 ,0.0 ,0.4 ,-5.4 ,-7.3 ,-4.5 ,-13.9 ,0.1 ,1.8 ,2.1 ,1.0 ,-0.4 ,2.9 ,1.9 ,0.4 ,0.4 ,0.7 ,-0.8 ,0.7 ,0.4 ,0.4 ,0.2 ,-0.1 ,-0.4 ,0.7 ,-0.5 ,-0.3 ,-0.4 ,-0.6 ,-1.1 ,0.2 ,-2.6 ,1.5 ,-2.2 ,-4.0 ,0.7 ,1.2 ,-3.8 ,-0.9 ,1.0 ,1.6 ,-7.0 ,1.0 ,0.1 ,-0.2 ,1.7 ,9.6 ,0.0 ,-7.6 ,-1.9 ,-3.6 ,1.0 
m01-1,202012      ,03          ,01,,612,Dec-20,-1.2 ,-1.0 ,-1.4 ,-1.2 ,-0.4 ,-0.5 ,-0.8 ,-4.6 ,-0.1 ,-1.1 ,-2.2 ,-3.3 ,1.3 ,-1.2 ,-5.3 ,-8.8 ,1.0 ,1.1 ,-1.3 ,1.2 ,0.1 ,-1.7 ,-0.7 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.2 ,-6.1 ,-7.9 ,-6.1 ,-14.4 ,0.0 ,2.5 ,3.2 ,1.3 ,0.1 ,2.5 ,3.5 ,0.4 ,0.1 ,0.7 ,-1.2 ,0.7 ,0.3 ,0.3 ,0.4 ,-1.9 ,-0.1 ,0.8 ,-0.4 ,-0.2 ,0.0 ,-0.6 ,-1.3 ,0.0 ,-2.5 ,0.6 ,-2.2 ,-4.0 ,0.7 ,1.2 ,-4.0 ,-0.3 ,-0.2 ,1.4 ,-6.8 ,0.9 ,0.1 ,-0.5 ,1.2 ,9.6 ,0.0 ,-8.1 ,-1.9 ,-3.8 ,0.9 
m01-1,202101      ,03          ,01,,613,Jan-21,-0.6 ,-0.6 ,-0.7 ,-0.7 ,0.1 ,0.2 ,-0.1 ,-0.3 ,-0.1 ,-1.0 ,-1.6 ,-2.3 ,0.9 ,-0.9 ,2.6 ,3.6 ,-4.2 ,-4.6 ,-1.4 ,1.2 ,0.2 ,-1.2 ,-0.6 ,0.0 ,0.5 ,1.7 ,0.0 ,-0.1 ,3.2 ,-6.3 ,-8.2 ,-6.7 ,-14.4 ,0.4 ,2.6 ,3.1 ,1.3 ,0.9 ,2.9 ,3.5 ,0.4 ,1.1 ,2.5 ,-1.3 ,2.6 ,0.3 ,0.2 ,0.4 ,-1.0 ,0.9 ,0.8 ,-0.5 ,-0.1 ,-1.2 ,-0.6 ,-1.8 ,0.1 ,-3.3 ,0.4 ,-2.2 ,-4.0 ,0.7 ,1.2 ,-0.1 ,-0.3 ,-0.2 ,1.5 ,-0.5 ,0.9 ,0.1 ,-0.2 ,-4.0 ,9.6 ,1.8 ,-8.6 ,-1.9 ,-0.2 ,1.0 
m01-1,202102      ,03          ,01,,614,Feb-21,-0.4 ,-0.4 ,-0.5 ,-0.5 ,0.2 ,0.3 ,0.0 ,0.0 ,0.0 ,-1.1 ,-1.8 ,-3.1 ,1.0 ,-0.7 ,3.1 ,4.4 ,-3.1 ,-3.4 ,-0.7 ,1.0 ,0.0 ,-1.4 ,-0.2 ,0.0 ,0.6 ,1.7 ,0.1 ,0.0 ,3.1 ,-5.8 ,-7.8 ,-6.2 ,-11.6 ,0.4 ,2.6 ,3.1 ,1.0 ,1.0 ,2.9 ,3.5 ,0.3 ,0.9 ,1.8 ,-1.6 ,1.9 ,0.9 ,1.1 ,0.5 ,-1.1 ,0.7 ,0.7 ,-0.4 ,0.4 ,-1.1 ,-0.6 ,-1.3 ,-0.3 ,-2.4 ,0.7 ,-2.1 ,-4.0 ,0.7 ,1.5 ,-0.2 ,-1.8 ,0.6 ,1.4 ,-0.6 ,1.5 ,0.0 ,-0.6 ,1.6 ,9.6 ,1.8 ,-7.2 ,-1.8 ,-0.3 ,1.0 
